trackid,numtrajpoints,lastupdatetime
18000212,0,2018-01-12 18:00:02.584889
18000214,0,2018-01-12 18:00:03.083415
18000400,0,2018-01-12 18:00:04.67762
18000401,0,2018-01-12 18:00:04.943866
17582700,2,2018-01-12 17:58:27.285234
17582400,28,2018-01-12 17:58:27.285234
17581700,80,2018-01-12 17:58:27.285234
17581202,89,2018-01-12 17:58:27.285234
17580700,137,2018-01-12 17:58:27.285234
17582701,0,2018-01-12 17:58:27.375583
17583300,0,2018-01-12 17:58:33.519127
17583400,0,2018-01-12 17:58:34.543834
17583700,0,2018-01-12 17:58:37.917259
17584000,0,2018-01-12 17:58:40.287377
17584003,0,2018-01-12 17:58:41.123386
17584002,0,2018-01-12 17:58:41.123386
17584001,0,2018-01-12 17:58:41.123386
17584200,0,2018-01-12 17:58:42.777691
17584300,0,2018-01-12 17:58:43.727706
17584301,0,2018-01-12 17:58:43.745288
17584400,0,2018-01-12 17:58:44.38065
17584600,0,2018-01-12 17:58:46.594582
17584601,0,2018-01-12 17:58:46.780575
18000500,0,2018-01-12 18:00:05.234734
18000501,0,2018-01-12 18:00:05.341169
18000600,0,2018-01-12 18:00:06.182864
18000700,0,2018-01-12 18:00:07.602296
18000701,0,2018-01-12 18:00:08.113782
18000800,0,2018-01-12 18:00:08.540098
18000900,0,2018-01-12 18:00:09.393519
17584602,0,2018-01-12 17:58:47.104889
17584700,0,2018-01-12 17:58:47.30032
17584701,0,2018-01-12 17:58:47.3882
17584702,0,2018-01-12 17:58:47.910773
18000901,0,2018-01-12 18:00:09.789476
18001000,0,2018-01-12 18:00:10.683974
18002702,0,2018-01-12 18:00:28.104248
18002800,0,2018-01-12 18:00:28.243489
18002801,0,2018-01-12 18:00:28.292387
18002803,0,2018-01-12 18:00:28.475748
18002802,0,2018-01-12 18:00:28.475748
18002804,0,2018-01-12 18:00:28.907489
18002900,0,2018-01-12 18:00:29.175247
18002901,0,2018-01-12 18:00:29.849939
18002902,0,2018-01-12 18:00:30.215409
18003001,0,2018-01-12 18:00:30.852419
18003000,0,2018-01-12 18:00:30.852419
18003003,0,2018-01-12 18:00:31.038025
18003002,0,2018-01-12 18:00:31.038025
18003100,0,2018-01-12 18:00:31.484256
18003101,0,2018-01-12 18:00:31.890792
18003204,0,2018-01-12 18:00:32.144219
18003203,0,2018-01-12 18:00:32.144219
18003202,0,2018-01-12 18:00:32.144219
18003201,0,2018-01-12 18:00:32.144219
18003200,0,2018-01-12 18:00:32.144219
18003211,0,2018-01-12 18:00:32.837205
18003210,0,2018-01-12 18:00:32.837205
18003209,0,2018-01-12 18:00:32.837205
18003208,0,2018-01-12 18:00:32.837205
18003207,0,2018-01-12 18:00:32.837205
18003206,0,2018-01-12 18:00:32.837205
18003205,0,2018-01-12 18:00:32.837205
18003213,0,2018-01-12 18:00:32.917998
18003212,0,2018-01-12 18:00:32.917998
18003302,0,2018-01-12 18:00:33.234164
18003301,0,2018-01-12 18:00:33.234164
18003300,0,2018-01-12 18:00:33.234164
18003303,0,2018-01-12 18:00:33.417285
18003305,0,2018-01-12 18:00:33.740959
18003304,0,2018-01-12 18:00:33.740959
18003400,0,2018-01-12 18:00:34.496922
18003401,0,2018-01-12 18:00:34.611841
18003402,0,2018-01-12 18:00:34.716175
18003500,0,2018-01-12 18:00:35.12652
18003501,0,2018-01-12 18:00:35.348079
18003503,0,2018-01-12 18:00:35.49195
18003502,0,2018-01-12 18:00:35.49195
18003504,0,2018-01-12 18:00:35.9567
18003601,0,2018-01-12 18:00:36.292198
18003600,0,2018-01-12 18:00:36.292198
18003602,0,2018-01-12 18:00:37.055299
18003701,0,2018-01-12 18:00:37.316271
18003700,0,2018-01-12 18:00:37.316271
18003702,0,2018-01-12 18:00:37.522108
18003703,0,2018-01-12 18:00:37.646503
18003800,0,2018-01-12 18:00:38.890798
18003900,0,2018-01-12 18:00:39.312226
18003901,0,2018-01-12 18:00:39.487632
18003902,0,2018-01-12 18:00:39.642001
18003903,0,2018-01-12 18:00:39.708335
18003904,0,2018-01-12 18:00:39.943668
18003905,0,2018-01-12 18:00:40.009157
18004001,0,2018-01-12 18:00:40.483196
18004000,0,2018-01-12 18:00:40.483196
18004002,0,2018-01-12 18:00:40.604165
18004003,0,2018-01-12 18:00:40.712278
18004004,0,2018-01-12 18:00:41.126082
18004100,0,2018-01-12 18:00:41.409888
18004101,0,2018-01-12 18:00:41.863953
18004102,0,2018-01-12 18:00:42.132447
18004200,0,2018-01-12 18:00:42.713443
18004300,0,2018-01-12 18:00:43.248451
18004302,0,2018-01-12 18:00:43.390565
18004301,0,2018-01-12 18:00:43.390565
18004304,0,2018-01-12 18:00:43.649201
18004303,0,2018-01-12 18:00:43.649201
18004307,0,2018-01-12 18:00:43.912407
18004306,0,2018-01-12 18:00:43.912407
18004305,0,2018-01-12 18:00:43.912407
18004400,0,2018-01-12 18:00:44.16263
18004402,0,2018-01-12 18:00:44.255394
18004401,0,2018-01-12 18:00:44.255394
18004501,0,2018-01-12 18:00:45.419853
18004503,0,2018-01-12 18:00:45.580087
18004502,0,2018-01-12 18:00:45.580087
18004505,0,2018-01-12 18:00:45.939915
18004504,0,2018-01-12 18:00:45.939915
18004600,0,2018-01-12 18:00:46.151136
18004603,0,2018-01-12 18:00:46.251606
18004602,0,2018-01-12 18:00:46.251606
18004601,0,2018-01-12 18:00:46.251606
18004604,0,2018-01-12 18:00:46.987447
18004701,0,2018-01-12 18:00:47.563011
18004700,0,2018-01-12 18:00:47.563011
18004702,0,2018-01-12 18:00:47.955798
18004801,0,2018-01-12 18:00:48.455729
18004800,0,2018-01-12 18:00:48.455729
18004802,0,2018-01-12 18:00:48.863392
18004803,0,2018-01-12 18:00:49.107547
18004900,0,2018-01-12 18:00:49.263078
18005000,0,2018-01-12 18:00:50.627982
18005001,0,2018-01-12 18:00:50.796047
18005200,0,2018-01-12 18:00:52.678191
18005300,0,2018-01-12 18:00:53.442943
18005301,0,2018-01-12 18:00:54.014755
18005400,0,2018-01-12 18:00:54.618524
18005402,0,2018-01-12 18:00:54.948486
18005401,0,2018-01-12 18:00:54.948486
18005403,0,2018-01-12 18:00:55.018827
18005500,0,2018-01-12 18:00:55.218546
18005501,0,2018-01-12 18:00:55.415302
18005502,0,2018-01-12 18:00:55.65285
18005506,0,2018-01-12 18:00:55.799599
18005505,0,2018-01-12 18:00:55.799599
18005504,0,2018-01-12 18:00:55.799599
